variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"a_fit[14,41,1]",23.116565334413107,17.4858525,23.257311380609817,25.924522185469257,1.3380635000000002e-4,50.894405,1.8295574344448184,5.80643733470185,46.92949884021686
"a_fit[15,41,1]",31.2076190807926,26.6490015,31.259779259334234,39.50980962404894,1.5262420000000001e-7,65.56484,1.7495525871499487,6.037489534519092,66.23289964886483
"a_fit[16,41,1]",31.161805299076768,21.0897,30.73590123275977,31.26758922015097,4.463756000000005e-14,66.07812,1.7345857161444156,6.106317937134744,118.32487263663836
"a_fit[17,41,1]",45.24852330375338,53.17745,44.110150531267045,66.37014572999999,-5.99644699999999e-14,96.23645,1.793774492838303,5.9232834867681285,38.932646334425954
"a_fit[18,41,1]",40.1991237442934,46.85355,38.92608616053913,59.372510946,-2.1021491999994967e-18,85.73350500000001,1.733124488854286,6.137175737159933,103.31880898937422
"a_fit[19,41,1]",34.25978103264823,41.1434,33.641038936984636,52.156696745999994,8.4022025000000208e-15,74.51472999999999,1.7330716791899508,6.114127956739228,86.75041586798106
"a_fit[20,41,1]",33.12227971447842,31.17105,32.59230464799484,46.21419872998727,1.9018375000000015e-13,70.088725,1.7569405076516653,6.024267439020027,61.88566890803499
"a_fit[21,41,1]",34.38591673760318,44.9202,33.83003134654164,49.35427139999999,3.9697019093000714e-18,73.949895,1.742005439125991,6.0819676118878,68.06403317790878
"a_fit[22,41,1]",31.699291062763816,26.6707,30.851535374463552,39.5419798200012,9.896876500000003e-15,67.36624499999999,1.7339493661021093,6.133356838801773,95.4572835496547
"a_fit[23,41,1]",40.7502660769764,32.5715,40.21622921261997,48.290505900026524,4.311907925000078e-21,86.41704999999999,1.7409812430822438,6.103949465907486,119.18303554213213
"a_fit[24,41,1]",46.44161601097225,64.8676,45.521175974754215,55.14664134,-4.55549899999999e-14,97.88207,1.882521455136813,5.6739343099132595,30.768661198812463
"a_fit[25,41,1]",41.7359388447295,35.942,40.85980205347461,53.28760920001605,5.270374500000001e-17,87.73317499999999,1.7413629821237016,6.088689571967083,102.43634434324225
"a_fit[26,41,1]",45.366698919002914,35.7048,44.46946053316347,52.93593648010318,5.731687500000034e-15,95.36770499999999,1.7504509054120196,6.048374523403108,66.79154805137142
"a_fit[27,41,1]",43.44316836090471,52.20215,42.86372057894793,62.98574058,2.6069145000000157e-15,91.757535,1.7379915713284673,6.113992678157846,127.54750481077745
"a_fit[28,41,1]",44.192348509187944,40.04875,43.7486611109052,59.37627675000081,-2.1175489999999105e-16,93.83158499999999,1.7411199515291471,6.088753579941633,81.39701493093769
"a_fit[29,41,1]",60.08824548863143,93.4949,58.02611858803143,57.811911359999996,-5.175380499999999e-14,126.34515,1.7952203425117532,5.918986813606369,43.7209310809023
"a_fit[30,41,1]",38.17810592162432,53.69725,37.60202426833543,48.75567165,-2.7885744999999995e-14,81.02544,1.738392821733007,6.104102804004859,73.92395106386361
"a_fit[31,41,1]",47.093467271143886,59.431599999999996,46.46043417892626,66.11936394,2.407238400000033e-18,99.90619999999998,1.760273736024361,6.041766420576362,47.2885608003145
"a_fit[32,41,1]",35.04597511166899,29.62255,34.40063155166909,43.91839263000944,1.1454032500000036e-14,74.10120500000001,1.756551495495037,6.034498686980171,55.41390175060626
"a_fit[1,42,1]",30.368267119775002,10.69525,29.305519090775633,15.781795303260001,0.32936165,69.51477500000001,1.9241112227701067,5.592539990095865,39.57693298525901
"a_fit[2,42,1]",36.705377169537634,38.00575,35.99046512105339,56.11679325209999,-1.836155499999982e-15,77.82774,1.7456257007540597,6.067373488623567,62.20375973963774
"a_fit[3,42,1]",36.232036745437746,28.362945,36.27298291471378,42.050901430490526,3.5233975000000005e-4,76.36445,1.735846263556695,6.0971549864179995,94.01670599188635
"a_fit[4,42,1]",44.95233136413472,38.893173999999995,45.01383492411136,57.66301977262702,2.945600500000003e-13,94.166335,1.7732244640557377,5.9844884570517864,62.34177555016989
"a_fit[5,42,1]",21.384210788206506,17.8445353,21.430040163983893,26.456308036076766,-9.804177999999991e-13,45.168245,1.75171386215596,6.06925702795739,80.32012768102693
"a_fit[6,42,1]",42.07503351403841,42.16705,41.959558636230064,62.51640671507701,-1.5030889999999994e-14,89.15550499999999,1.7548527683165314,6.066257118986939,69.72980041217711
"a_fit[7,42,1]",23.4279750238597,14.1963081,23.750433677014474,21.047446389067442,-5.1855384999999247e-17,53.877534999999995,1.9360453602264338,5.553902371170887,33.22921229132067
"a_fit[8,42,1]",42.1134502834992,34.35877451165,42.22805906213096,50.94031909130058,-4.618950499999999e-11,89.82087999999999,1.7806548797423678,5.949213930655848,52.073937879044664
"a_fit[9,42,1]",24.5410907560175,18.789675000000003,24.44592223135388,27.854804600406002,0.037997505,52.215415,1.7687414198414912,5.982193084730097,88.61416532216118
"a_fit[10,42,1]",39.622438260007755,47.207350000000005,38.88068724913968,57.95535290999999,-1.6120679999999994e-15,84.080185,1.780437659366233,5.951029760426668,42.057149801201604
"a_fit[11,42,1]",20.83659230186974,2.8732750000000004e-4,36.131048625566926,4.2492809793630006e-4,3.328082e-7,86.235875,1.718173593238766,6.1616775789848335,31.102707984653925
"a_fit[12,42,1]",38.1926858435,14.8762,34.25041645981239,21.2306199882,1.811329,78.85023,1.8073755344876417,5.864880291319987,57.73241723458087
"a_fit[13,42,1]",37.85800809905999,28.495885,37.97841116749489,42.247995639538196,4.8084090000000005e-4,81.14299,1.7552797125169974,6.02272555568694,125.06668047656686
